date,amount,vendor_name,description
2026-02-01,450,Swiggy,Lunch order
2026-02-01,1200,Uber,Airport cab
2026-02-02,8500,Amazon,Laptop stand and keyboard
2026-02-03,299,Netflix,Monthly subscription
2026-02-04,650,Zomato,Dinner with colleagues
2026-02-05,180,Swiggy,Breakfast
2026-02-06,2200,Reliance Fresh,Monthly groceries
2026-02-07,450,Swiggy,Lunch
2026-02-08,15000,Amazon,Emergency laptop repair parts
2026-02-09,1800,Airtel,Monthly broadband bill
2026-02-10,350,Swiggy,Dinner
2026-02-11,550,Ola,Office commute
2026-02-12,799,Spotify,Annual plan
2026-02-13,420,Cafe Coffee Day,Team coffee
2026-02-14,3200,Myntra,Clothes shopping
2026-02-15,280,Swiggy,Lunch
2026-02-16,600,Uber,Evening ride
2026-02-17,12000,Flipkart,Phone accessories - bulk order
2026-02-18,500,Big Bazaar,Weekend groceries
2026-02-19,99,Hotstar,Subscription
2026-02-20,380,Swiggy,Dinner
